,count,count,count,tested,tested,tested,percentage,percentage,percentage,Unknown tested,Unknown tested,Unknown tested,Unknown count,Unknown count,Unknown count,Unknown percentage,Unknown percentage,Unknown percentage,<20 tested,<20 tested,<20 tested,<20 count,<20 count,<20 count,<20 percentage,<20 percentage,<20 percentage,20-39 tested,20-39 tested,20-39 tested,20-39 count,20-39 count,20-39 count,20-39 percentage,20-39 percentage,20-39 percentage,30-39 tested,30-39 tested,30-39 tested,30-39 count,30-39 count,30-39 count,30-39 percentage,30-39 percentage,30-39 percentage,40-49 tested,40-49 tested,40-49 tested,40-49 count,40-49 count,40-49 count,40-49 percentage,40-49 percentage,40-49 percentage,50-59 tested,50-59 tested,50-59 tested,50-59 count,50-59 count,50-59 count,50-59 percentage,50-59 percentage,50-59 percentage,60-69 tested,60-69 tested,60-69 tested,60-69 count,60-69 count,60-69 count,60-69 percentage,60-69 percentage,60-69 percentage,70-79 tested,70-79 tested,70-79 tested,70-79 count,70-79 count,70-79 count,70-79 percentage,70-79 percentage,70-79 percentage,80+ tested,80+ tested,80+ tested,80+ count,80+ count,80+ count,80+ percentage,80+ percentage,80+ percentage
06-11,0.21428571428571427,1.2142857142857142,0.42857142857142855,4.285714285714286,52.214285714285715,20.642857142857142,0.049999999999999996,0.02325581395348837,0.020761245674740483,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21428571428571427,2.7857142857142856,1.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.02564102564102564,0.0,0.7857142857142857,5.857142857142857,1.9285714285714286,0.0,0.21428571428571427,0.21428571428571427,0.0,0.036585365853658534,0.1111111111111111,0.9285714285714286,7.0,2.7857142857142856,0.0,0.07142857142857142,0.07142857142857142,0.0,0.01020408163265306,0.02564102564102564,0.2857142857142857,7.142857142857143,3.5,0.0,0.07142857142857142,0.07142857142857142,0.0,0.009999999999999998,0.02040816326530612,0.5,9.642857142857142,3.642857142857143,0.07142857142857142,0.2857142857142857,0.0,0.14285714285714285,0.02962962962962963,0.0,0.42857142857142855,8.857142857142858,3.9285714285714284,0.0,0.2857142857142857,0.07142857142857142,0.0,0.03225806451612903,0.01818181818181818,0.8571428571428571,7.5,2.2142857142857144,0.0,0.07142857142857142,0.0,0.0,0.009523809523809523,0.0,0.2857142857142857,3.4285714285714284,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.041666666666666664,0.0
06-12,0.21428571428571427,0.9285714285714286,0.35714285714285715,3.5,48.57142857142857,20.5,0.061224489795918366,0.01911764705882353,0.017421602787456445,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.07142857142857142,3.2142857142857144,1.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.04444444444444444,0.0,0.6428571428571429,5.5,2.0714285714285716,0.0,0.07142857142857142,0.21428571428571427,0.0,0.012987012987012986,0.10344827586206895,0.5714285714285714,6.571428571428571,2.9285714285714284,0.0,0.07142857142857142,0.07142857142857142,0.0,0.010869565217391304,0.024390243902439025,0.35714285714285715,6.642857142857143,3.4285714285714284,0.0,0.07142857142857142,0.07142857142857142,0.0,0.01075268817204301,0.020833333333333332,0.5714285714285714,9.214285714285714,3.642857142857143,0.07142857142857142,0.21428571428571427,0.0,0.125,0.023255813953488372,0.0,0.42857142857142855,7.357142857142857,3.857142857142857,0.0,0.14285714285714285,0.0,0.0,0.019417475728155338,0.0,0.6428571428571429,7.071428571428571,2.0,0.0,0.07142857142857142,0.0,0.0,0.0101010101010101,0.0,0.21428571428571427,3.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0
06-13,0.21428571428571427,0.9285714285714286,0.35714285714285715,3.5,48.57142857142857,20.5,0.061224489795918366,0.01911764705882353,0.017421602787456445,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.07142857142857142,3.2142857142857144,1.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.04444444444444444,0.0,0.6428571428571429,5.5,2.0714285714285716,0.0,0.07142857142857142,0.21428571428571427,0.0,0.012987012987012986,0.10344827586206895,0.5714285714285714,6.571428571428571,2.9285714285714284,0.0,0.07142857142857142,0.07142857142857142,0.0,0.010869565217391304,0.024390243902439025,0.35714285714285715,6.642857142857143,3.4285714285714284,0.0,0.07142857142857142,0.07142857142857142,0.0,0.01075268817204301,0.020833333333333332,0.5714285714285714,9.214285714285714,3.642857142857143,0.07142857142857142,0.21428571428571427,0.0,0.125,0.023255813953488372,0.0,0.42857142857142855,7.357142857142857,3.857142857142857,0.0,0.14285714285714285,0.0,0.0,0.019417475728155338,0.0,0.6428571428571429,7.071428571428571,2.0,0.0,0.07142857142857142,0.0,0.0,0.0101010101010101,0.0,0.21428571428571427,3.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.0
06-14,0.14285714285714285,0.8571428571428571,0.21428571428571427,3.142857142857143,42.785714285714285,18.142857142857142,0.045454545454545456,0.02003338898163606,0.011811023622047244,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.07142857142857142,2.9285714285714284,1.6428571428571428,0.0,0.14285714285714285,0.0,0.0,0.04878048780487805,0.0,0.6428571428571429,5.142857142857143,1.6428571428571428,0.0,0.07142857142857142,0.07142857142857142,0.0,0.013888888888888886,0.043478260869565216,0.5,5.785714285714286,2.7142857142857144,0.0,0.07142857142857142,0.07142857142857142,0.0,0.012345679012345678,0.02631578947368421,0.35714285714285715,5.928571428571429,3.2857142857142856,0.0,0.07142857142857142,0.07142857142857142,0.0,0.012048192771084336,0.021739130434782608,0.42857142857142855,8.071428571428571,2.9285714285714284,0.0,0.21428571428571427,0.0,0.0,0.02654867256637168,0.0,0.35714285714285715,6.285714285714286,3.5,0.0,0.14285714285714285,0.0,0.0,0.022727272727272728,0.0,0.5714285714285714,6.142857142857143,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,2.5,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.05714285714285714,0.0
06-15,0.2857142857142857,0.7857142857142857,0.5714285714285714,5.142857142857143,52.57142857142857,21.785714285714285,0.055555555555555546,0.014945652173913044,0.02622950819672131,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.4285714285714286,3.642857142857143,2.2857142857142856,0.0,0.14285714285714285,0.0,0.0,0.0392156862745098,0.0,0.6428571428571429,7.571428571428571,2.142857142857143,0.0,0.07142857142857142,0.07142857142857142,0.0,0.009433962264150943,0.03333333333333333,0.7142857142857143,7.285714285714286,3.2142857142857144,0.0,0.07142857142857142,0.14285714285714285,0.0,0.00980392156862745,0.04444444444444444,0.7142857142857143,7.5,4.285714285714286,0.0,0.07142857142857142,0.21428571428571427,0.0,0.009523809523809523,0.049999999999999996,0.5,9.0,3.5714285714285716,0.0,0.14285714285714285,0.0,0.0,0.015873015873015872,0.0,0.35714285714285715,7.285714285714286,3.5714285714285716,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0196078431372549,0.019999999999999997,0.5714285714285714,7.214285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,3.0714285714285716,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.04651162790697674,0.0
06-16,0.2857142857142857,0.7857142857142857,0.5714285714285714,5.142857142857143,52.57142857142857,21.785714285714285,0.055555555555555546,0.014945652173913044,0.02622950819672131,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.4285714285714286,3.642857142857143,2.2857142857142856,0.0,0.14285714285714285,0.0,0.0,0.0392156862745098,0.0,0.6428571428571429,7.571428571428571,2.142857142857143,0.0,0.07142857142857142,0.07142857142857142,0.0,0.009433962264150943,0.03333333333333333,0.7142857142857143,7.285714285714286,3.2142857142857144,0.0,0.07142857142857142,0.14285714285714285,0.0,0.00980392156862745,0.04444444444444444,0.7142857142857143,7.5,4.285714285714286,0.0,0.07142857142857142,0.21428571428571427,0.0,0.009523809523809523,0.049999999999999996,0.5,9.0,3.5714285714285716,0.0,0.14285714285714285,0.0,0.0,0.015873015873015872,0.0,0.35714285714285715,7.285714285714286,3.5714285714285716,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0196078431372549,0.019999999999999997,0.5714285714285714,7.214285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,3.0714285714285716,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0,0.04651162790697674,0.0
06-17,0.14285714285714285,0.7142857142857143,0.5,4.357142857142857,45.92857142857143,19.214285714285715,0.03278688524590164,0.015552099533437013,0.02602230483271375,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.4285714285714286,3.5,2.0,0.0,0.14285714285714285,0.0,0.0,0.04081632653061224,0.0,0.42857142857142855,7.071428571428571,2.0,0.0,0.07142857142857142,0.0,0.0,0.0101010101010101,0.0,0.5,6.428571428571429,2.9285714285714284,0.0,0.07142857142857142,0.14285714285714285,0.0,0.01111111111111111,0.04878048780487805,0.6428571428571429,6.285714285714286,3.642857142857143,0.0,0.07142857142857142,0.21428571428571427,0.0,0.011363636363636364,0.058823529411764705,0.5,7.857142857142857,3.357142857142857,0.0,0.14285714285714285,0.0,0.0,0.01818181818181818,0.0,0.14285714285714285,6.0,3.0714285714285716,0.0,0.14285714285714285,0.07142857142857142,0.0,0.023809523809523808,0.02325581395348837,0.5,6.285714285714286,1.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,2.5,0.5714285714285714,0.0,0.07142857142857142,0.0,0.0,0.02857142857142857,0.0
06-18,0.14285714285714285,1.0714285714285714,0.42857142857142855,5.571428571428571,56.857142857142854,25.071428571428573,0.02564102564102564,0.01884422110552764,0.017094017094017092,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.7857142857142858,4.285714285714286,2.5,0.0,0.14285714285714285,0.0,0.0,0.03333333333333333,0.0,0.5,8.928571428571429,2.7857142857142856,0.0,0.21428571428571427,0.0,0.0,0.023999999999999997,0.0,0.7142857142857143,8.214285714285714,3.9285714285714284,0.0,0.14285714285714285,0.14285714285714285,0.0,0.017391304347826087,0.03636363636363636,0.7142857142857143,7.5,5.142857142857143,0.0,0.07142857142857142,0.21428571428571427,0.0,0.009523809523809523,0.041666666666666664,0.6428571428571429,9.571428571428571,4.0,0.0,0.21428571428571427,0.0,0.0,0.022388059701492536,0.0,0.35714285714285715,7.714285714285714,4.071428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.018518518518518517,0.017543859649122806,0.6428571428571429,7.5,1.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.009523809523809523,0.0,0.21428571428571427,3.142857142857143,0.7142857142857143,0.0,0.07142857142857142,0.0,0.0,0.022727272727272728,0.0
06-19,0.14285714285714285,1.0714285714285714,0.42857142857142855,5.571428571428571,56.857142857142854,25.071428571428573,0.02564102564102564,0.01884422110552764,0.017094017094017092,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.7857142857142858,4.285714285714286,2.5,0.0,0.14285714285714285,0.0,0.0,0.03333333333333333,0.0,0.5,8.928571428571429,2.7857142857142856,0.0,0.21428571428571427,0.0,0.0,0.023999999999999997,0.0,0.7142857142857143,8.214285714285714,3.9285714285714284,0.0,0.14285714285714285,0.14285714285714285,0.0,0.017391304347826087,0.03636363636363636,0.7142857142857143,7.5,5.142857142857143,0.0,0.07142857142857142,0.21428571428571427,0.0,0.009523809523809523,0.041666666666666664,0.6428571428571429,9.571428571428571,4.0,0.0,0.21428571428571427,0.0,0.0,0.022388059701492536,0.0,0.35714285714285715,7.714285714285714,4.071428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.018518518518518517,0.017543859649122806,0.6428571428571429,7.5,1.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.009523809523809523,0.0,0.21428571428571427,3.142857142857143,0.7142857142857143,0.0,0.07142857142857142,0.0,0.0,0.022727272727272728,0.0
06-20,0.14285714285714285,1.0714285714285714,0.42857142857142855,5.571428571428571,56.857142857142854,25.071428571428573,0.02564102564102564,0.01884422110552764,0.017094017094017092,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.7857142857142858,4.285714285714286,2.5,0.0,0.14285714285714285,0.0,0.0,0.03333333333333333,0.0,0.5,8.928571428571429,2.7857142857142856,0.0,0.21428571428571427,0.0,0.0,0.023999999999999997,0.0,0.7142857142857143,8.214285714285714,3.9285714285714284,0.0,0.14285714285714285,0.14285714285714285,0.0,0.017391304347826087,0.03636363636363636,0.7142857142857143,7.5,5.142857142857143,0.0,0.07142857142857142,0.21428571428571427,0.0,0.009523809523809523,0.041666666666666664,0.6428571428571429,9.571428571428571,4.0,0.0,0.21428571428571427,0.0,0.0,0.022388059701492536,0.0,0.35714285714285715,7.714285714285714,4.071428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.018518518518518517,0.017543859649122806,0.6428571428571429,7.5,1.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.009523809523809523,0.0,0.21428571428571427,3.142857142857143,0.7142857142857143,0.0,0.07142857142857142,0.0,0.0,0.022727272727272728,0.0
06-21,0.14285714285714285,1.0714285714285714,0.42857142857142855,5.571428571428571,56.857142857142854,25.071428571428573,0.02564102564102564,0.01884422110552764,0.017094017094017092,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.7857142857142858,4.285714285714286,2.5,0.0,0.14285714285714285,0.0,0.0,0.03333333333333333,0.0,0.5,8.928571428571429,2.7857142857142856,0.0,0.21428571428571427,0.0,0.0,0.023999999999999997,0.0,0.7142857142857143,8.214285714285714,3.9285714285714284,0.0,0.14285714285714285,0.14285714285714285,0.0,0.017391304347826087,0.03636363636363636,0.7142857142857143,7.5,5.142857142857143,0.0,0.07142857142857142,0.21428571428571427,0.0,0.009523809523809523,0.041666666666666664,0.6428571428571429,9.571428571428571,4.0,0.0,0.21428571428571427,0.0,0.0,0.022388059701492536,0.0,0.35714285714285715,7.714285714285714,4.071428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.018518518518518517,0.017543859649122806,0.6428571428571429,7.5,1.9285714285714286,0.0,0.07142857142857142,0.0,0.0,0.009523809523809523,0.0,0.21428571428571427,3.142857142857143,0.7142857142857143,0.0,0.07142857142857142,0.0,0.0,0.022727272727272728,0.0
06-22,0.14285714285714285,0.5714285714285714,0.42857142857142855,4.642857142857143,38.214285714285715,17.642857142857142,0.030769230769230764,0.014953271028037382,0.024291497975708502,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.7857142857142858,2.857142857142857,1.8571428571428572,0.0,0.07142857142857142,0.0,0.0,0.024999999999999998,0.0,0.35714285714285715,6.571428571428571,2.0,0.0,0.21428571428571427,0.0,0.0,0.03260869565217391,0.0,0.6428571428571429,5.357142857142857,2.5714285714285716,0.0,0.0,0.14285714285714285,0.0,0.0,0.055555555555555546,0.6428571428571429,4.928571428571429,4.142857142857143,0.0,0.0,0.21428571428571427,0.0,0.0,0.051724137931034475,0.5,6.071428571428571,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,5.142857142857143,2.642857142857143,0.0,0.14285714285714285,0.07142857142857142,0.0,0.027777777777777773,0.027027027027027025,0.2857142857142857,5.214285714285714,1.0714285714285714,0.0,0.07142857142857142,0.0,0.0,0.0136986301369863,0.0,0.14285714285714285,2.0714285714285716,0.5,0.0,0.07142857142857142,0.0,0.0,0.03448275862068965,0.0
06-23,0.21428571428571427,0.7857142857142857,0.5,6.428571428571429,61.0,26.428571428571427,0.03333333333333333,0.01288056206088993,0.01891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.8571428571428572,5.5,2.857142857142857,0.0,0.07142857142857142,0.0,0.0,0.012987012987012986,0.0,0.8571428571428571,9.785714285714286,2.7857142857142856,0.42857142857142855,0.35714285714285715,0.0,0.5,0.0364963503649635,0.0,1.0,9.0,3.857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.037037037037037035,0.7857142857142857,8.428571428571429,6.071428571428571,0.0,0.07142857142857142,0.21428571428571427,0.0,0.00847457627118644,0.03529411764705882,0.7857142857142857,9.785714285714286,4.357142857142857,0.0,-0.07142857142857142,0.0,0.0,-0.0072992700729927,0.0,0.5,8.071428571428571,4.142857142857143,0.0,0.14285714285714285,0.07142857142857142,0.0,0.017699115044247787,0.017241379310344824,0.42857142857142855,7.214285714285714,1.7142857142857142,0.0,0.14285714285714285,0.0,0.0,0.019801980198019802,0.0,0.21428571428571427,3.2142857142857144,0.6428571428571429,0.0,0.07142857142857142,0.0,0.0,0.02222222222222222,0.0
06-24,0.21428571428571427,0.6428571428571429,0.35714285714285715,5.642857142857143,54.57142857142857,23.428571428571427,0.03797468354430379,0.011780104712041887,0.015243902439024392,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.7857142857142858,5.214285714285714,2.7857142857142856,0.0,0.07142857142857142,0.0,0.0,0.0136986301369863,0.0,0.6428571428571429,8.857142857142858,2.5714285714285716,0.42857142857142855,0.35714285714285715,0.0,0.6666666666666666,0.04032258064516129,0.0,0.8571428571428571,8.142857142857142,3.357142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,0.008771929824561403,0.02127659574468085,0.7142857142857143,7.785714285714286,5.5,0.0,0.07142857142857142,0.14285714285714285,0.0,0.009174311926605503,0.025974025974025972,0.7142857142857143,8.214285714285714,3.7857142857142856,0.0,-0.07142857142857142,0.0,0.0,-0.008695652173913044,0.0,0.5,7.285714285714286,3.5,0.0,0.0,0.07142857142857142,0.0,0.0,0.02040816326530612,0.35714285714285715,6.214285714285714,1.2857142857142858,0.0,0.14285714285714285,0.0,0.0,0.022988505747126436,0.0,0.07142857142857142,2.857142857142857,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0
06-25,0.21428571428571427,0.6428571428571429,0.35714285714285715,5.642857142857143,54.57142857142857,23.428571428571427,0.03797468354430379,0.011780104712041887,0.015243902439024392,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.7857142857142858,5.214285714285714,2.7857142857142856,0.0,0.07142857142857142,0.0,0.0,0.0136986301369863,0.0,0.6428571428571429,8.857142857142858,2.5714285714285716,0.42857142857142855,0.35714285714285715,0.0,0.6666666666666666,0.04032258064516129,0.0,0.8571428571428571,8.142857142857142,3.357142857142857,0.0,0.07142857142857142,0.07142857142857142,0.0,0.008771929824561403,0.02127659574468085,0.7142857142857143,7.785714285714286,5.5,0.0,0.07142857142857142,0.14285714285714285,0.0,0.009174311926605503,0.025974025974025972,0.7142857142857143,8.214285714285714,3.7857142857142856,0.0,-0.07142857142857142,0.0,0.0,-0.008695652173913044,0.0,0.5,7.285714285714286,3.5,0.0,0.0,0.07142857142857142,0.0,0.0,0.02040816326530612,0.35714285714285715,6.214285714285714,1.2857142857142858,0.0,0.14285714285714285,0.0,0.0,0.022988505747126436,0.0,0.07142857142857142,2.857142857142857,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.0
06-26,0.2857142857142857,0.6428571428571429,0.5,7.0,63.357142857142854,26.857142857142858,0.04081632653061224,0.010146561443066518,0.018617021276595744,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.8571428571428572,5.357142857142857,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,10.0,3.2857142857142856,0.5,0.35714285714285715,0.0,0.38888888888888884,0.03571428571428571,0.0,1.1428571428571428,10.285714285714286,4.214285714285714,0.0,0.14285714285714285,0.14285714285714285,0.0,0.013888888888888886,0.03389830508474576,0.9285714285714286,9.142857142857142,6.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0078125,0.023809523809523808,0.7142857142857143,10.0,4.642857142857143,0.0,-0.07142857142857142,0.0,0.0,-0.007142857142857143,0.0,0.5714285714285714,9.0,3.4285714285714284,0.0,0.0,0.07142857142857142,0.0,0.0,0.020833333333333332,0.42857142857142855,6.357142857142857,1.5714285714285714,0.0,0.21428571428571427,0.0,0.0,0.033707865168539325,0.0,0.07142857142857142,3.2142857142857144,0.9285714285714286,0.0,-0.07142857142857142,0.0,0.0,-0.02222222222222222,0.0
06-27,0.2857142857142857,0.6428571428571429,0.5,7.0,63.357142857142854,26.857142857142858,0.04081632653061224,0.010146561443066518,0.018617021276595744,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.8571428571428572,5.357142857142857,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,10.0,3.2857142857142856,0.5,0.35714285714285715,0.0,0.38888888888888884,0.03571428571428571,0.0,1.1428571428571428,10.285714285714286,4.214285714285714,0.0,0.14285714285714285,0.14285714285714285,0.0,0.013888888888888886,0.03389830508474576,0.9285714285714286,9.142857142857142,6.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0078125,0.023809523809523808,0.7142857142857143,10.0,4.642857142857143,0.0,-0.07142857142857142,0.0,0.0,-0.007142857142857143,0.0,0.5714285714285714,9.0,3.4285714285714284,0.0,0.0,0.07142857142857142,0.0,0.0,0.020833333333333332,0.42857142857142855,6.357142857142857,1.5714285714285714,0.0,0.21428571428571427,0.0,0.0,0.033707865168539325,0.0,0.07142857142857142,3.2142857142857144,0.9285714285714286,0.0,-0.07142857142857142,0.0,0.0,-0.02222222222222222,0.0
06-28,0.2857142857142857,0.6428571428571429,0.5,7.0,63.357142857142854,26.857142857142858,0.04081632653061224,0.010146561443066518,0.018617021276595744,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.8571428571428572,5.357142857142857,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142858,10.0,3.2857142857142856,0.5,0.35714285714285715,0.0,0.38888888888888884,0.03571428571428571,0.0,1.1428571428571428,10.285714285714286,4.214285714285714,0.0,0.14285714285714285,0.14285714285714285,0.0,0.013888888888888886,0.03389830508474576,0.9285714285714286,9.142857142857142,6.0,0.0,0.07142857142857142,0.14285714285714285,0.0,0.0078125,0.023809523809523808,0.7142857142857143,10.0,4.642857142857143,0.0,-0.07142857142857142,0.0,0.0,-0.007142857142857143,0.0,0.5714285714285714,9.0,3.4285714285714284,0.0,0.0,0.07142857142857142,0.0,0.0,0.020833333333333332,0.42857142857142855,6.357142857142857,1.5714285714285714,0.0,0.21428571428571427,0.0,0.0,0.033707865168539325,0.0,0.07142857142857142,3.2142857142857144,0.9285714285714286,0.0,-0.07142857142857142,0.0,0.0,-0.02222222222222222,0.0
06-29,0.14285714285714285,0.7142857142857143,0.14285714285714285,4.785714285714286,50.357142857142854,21.642857142857142,0.029850746268656716,0.014184397163120569,0.006600660066006601,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5,4.428571428571429,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2142857142857142,7.428571428571429,2.7142857142857144,0.5,0.35714285714285715,0.0,0.411764705882353,0.04807692307692308,0.0,0.9285714285714286,8.428571428571429,3.5,0.0,0.14285714285714285,0.07142857142857142,0.0,0.01694915254237288,0.02040816326530612,0.5,7.0,4.571428571428571,0.0,0.07142857142857142,0.0,0.0,0.01020408163265306,0.0,0.6428571428571429,8.5,3.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,7.142857142857143,2.9285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,4.928571428571429,1.4285714285714286,0.0,0.21428571428571427,0.0,0.0,0.043478260869565216,0.0,0.07142857142857142,2.5,0.7857142857142857,0.0,-0.07142857142857142,0.0,0.0,-0.02857142857142857,0.0
06-30,0.21428571428571427,1.0714285714285714,0.42857142857142855,6.642857142857143,74.5,30.357142857142858,0.03225806451612903,0.014381591562799617,0.014117647058823528,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5714285714285714,6.428571428571429,2.5,0.0,0.07142857142857142,0.0,0.0,0.01111111111111111,0.0,1.6428571428571428,9.214285714285714,3.5714285714285716,0.5,0.35714285714285715,0.07142857142857142,0.30434782608695654,0.03875968992248063,0.019999999999999997,1.1428571428571428,12.071428571428571,5.142857142857143,0.0,0.2857142857142857,0.21428571428571427,0.0,0.023668639053254437,0.041666666666666664,1.0,11.071428571428571,6.357142857142857,0.0,0.14285714285714285,0.07142857142857142,0.0,0.012903225806451613,0.011235955056179775,0.7857142857142857,12.785714285714286,5.428571428571429,0.0,0.07142857142857142,0.0,0.0,0.005586592178770949,0.0,0.7142857142857143,10.714285714285714,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,7.714285714285714,2.642857142857143,0.0,0.21428571428571427,0.0,0.0,0.027777777777777776,0.0,0.14285714285714285,4.5,1.0714285714285714,0.0,-0.07142857142857142,0.0,0.0,-0.015873015873015872,0.0
07-01,0.21428571428571427,1.1428571428571428,0.42857142857142855,7.428571428571429,80.71428571428571,32.57142857142857,0.028846153846153844,0.01415929203539823,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,7.0,2.5,0.0,0.07142857142857142,0.0,0.0,0.01020408163265306,0.0,1.6428571428571428,10.357142857142858,3.7857142857142856,0.5,0.35714285714285715,0.07142857142857142,0.30434782608695654,0.034482758620689655,0.018867924528301886,1.1428571428571428,13.214285714285714,5.571428571428571,0.0,0.2857142857142857,0.21428571428571427,0.0,0.021621621621621623,0.038461538461538464,1.2142857142857142,12.071428571428571,7.071428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.011834319526627219,0.0101010101010101,1.0,13.857142857142858,5.785714285714286,0.0,0.07142857142857142,0.0,0.0,0.005154639175257732,0.0,0.7142857142857143,11.285714285714286,3.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,8.285714285714286,2.7857142857142856,0.0,0.2857142857142857,0.0,0.0,0.03448275862068965,0.0,0.2857142857142857,4.642857142857143,1.1428571428571428,0.0,-0.07142857142857142,0.0,0.0,-0.015384615384615382,0.0
07-02,0.21428571428571427,0.7857142857142857,0.5,6.214285714285714,69.78571428571429,26.714285714285715,0.034482758620689655,0.0112589559877175,0.01871657754010695,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.35714285714285715,6.214285714285714,2.0,0.0,0.07142857142857142,0.0,0.0,0.011494252873563218,0.0,1.5714285714285714,8.5,3.0,0.5,0.21428571428571427,0.07142857142857142,0.3181818181818182,0.025210084033613443,0.023809523809523808,0.9285714285714286,11.428571428571429,4.571428571428571,0.0,0.21428571428571427,0.21428571428571427,0.0,0.01875,0.046875,1.1428571428571428,10.857142857142858,5.571428571428571,0.0,0.14285714285714285,0.07142857142857142,0.0,0.013157894736842105,0.01282051282051282,0.8571428571428571,12.142857142857142,5.142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.571428571428571,2.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,7.071428571428571,2.5,0.0,0.21428571428571427,0.0,0.0,0.030303030303030304,0.0,0.2857142857142857,4.0,1.0,0.0,-0.07142857142857142,0.0,0.0,-0.017857142857142856,0.0
